9    mettre tes                    mEt te                        viens r' mettre tes souliers a
13   desordre que                  de-zORd k2                    peu le desordre que tu
153  livre mais                    liv mE                        prends le livre mais fais attention
153  autres vont                   ot v§                         que les autres vont tomber
214  sucre que                     syk k2                        du sucre que c' est .
251  souffle sur                   suf syR                       i' souffle sur la fleur nicolas
284  arbre ce                      aRb s2                        est un arbre ce n'
339  montres la                    m§t la                        que tu montres la porte
400  cadre la                      kad la                        sur le cadre la .
407  etre toute                    Et tut                        maman va etre toute sale
425  mettre ton                    mEt t§                        un peu mettre ton #
524  livre tantot                  liv t@-tO                     mis le livre tantot ?
583  prendre donc                  pR@d d§k                      va bien prendre donc ?
588  prendre sais                  pR@d sE                       pas tout prendre sais tu
625  etre casse                    Et kas                        va encore etre casse plus
648  autre boite                   ot bwat                       dans l' autre boite i'
661  remettre la                   R°-mEt la                     va remettre la moto dans la
671  autre boite                   ot bwat                       dans l' autre boite .
672  autre boite                   ot bwat                       dans l' autre boite .
679  mettre tu                     mEt ty                        de la mettre tu es
713  autres cles                   ot kle                        mettais des autres cles ?
720  mettre tes                    mEt te                        va mettre tes souliers hein .
731  mettre ton                    mEt t§                        tu vas mettre ton soulier ?
733  autre bas                     ot ba                         l' autre bas oui .
754  mettre du                     mEt dy                        maman va mettre du cirage oui
768  mettre du                     mEt dy                        non pas mettre du cirage
777  attendre que                  a-t@d k2                      faut attendre que maman ait frotte
787  mettre la                     mEt la                        va t' mettre la .
790  mettre la                     mEt la                        va t' mettre la .
861  mettre tes                    mEt te                        va mettre tes souliers sur le
863  mettre les                    mEt le                        faut les mettre les souliers
872  autre musique                 ot my-zik                     encore une autre musique ?
927  autre sens                    ot s@s                        dans l' autre sens .
930  autre crayon                  ot kRE-j§                     l' autre crayon .
947  descendre remonter            de-s@d R°-m§-te               descendre remonter .
977  perdre tout                   pERd tu                       tu vas perdre tout tout
988  ouvre la                      uv la                         on ouvre la porte ?
1003 autre camion                  ot ka-mj§                     faudrait un autre camion un plus
2002 descendre la                  de-s@d la                     descendre la benne et lever la
2004 descendre la                  de-s@d la                     et descendre la benne .
2006 descendre le                  de-s@d l2                     descendre le camion ?
2020 mettre dans                   mEt d@                        veut s' mettre dans cette
2031 mettre de                     mEt d2                        mettre de l' essence dans l'
2036 mettre dedans                 mEt d°-d@                     peux t' mettre dedans .
2047 enregistre fafa               @R-Zist fa-fa                 oui on enregistre fafa .
2076 mettre sur                    mEt syR                       va mettre sur le p' tit
2111 quatre janvier                kat Z@-vje                    le vendredi quatre janvier mil
2234 livre dans                    liv d@                        chercher l' livre dans lequel
2262 entre dans                    @t d@                         est-ce qui entre dans la
2416 autre porte                   ot pORt                       a l' autre porte .
2831 mettre la                     mEt la                        d' se mettre la pour
2839 mettre ta                     mEt ta                        ne pas mettre ta figure .
2869 mettre quoi                   mEt kwa                       faut mettre quoi donc ?
2880 mettre tantot                 mEt t@-tO                     on la mettre tantot .
2893 autre livre                   ot livR                       prends un autre livre .
2894 desordre comme                de-zORd kOm                   pas du desordre comme ce
2906 mettre ses                    mEt se                        stephan peut mettre ses pantoufles
2907 mettre ses                    mEt se                        stephan peut mettre ses pantoufles
2910 pantoufles tout               p@-tuf tu                     bien ses pantoufles tout seul
2967 enregistre fafa               @R-Zist fa-fa                 oui on enregistre fafa .
2970 autre l'                      ot l                          man l' autre l' autre
3037 montre ta                     m§t ta                        montre ta main a papa .
3140 contre la                     k§t la                        contre la contre le ventre .
3140 contre le                     k§t l2                        contre la contre le ventre .
3209 remettre la                   R°-mEt la                     toi et remettre la cle
3214 mettre les                    mEt le                        va r' mettre les cles d'
3356 autres cles                   ot kle                        pas d' autres cles .
3390 livre de                      liv d2                        avec le livre de la
3423 moudre le                     mud l2                        faire pour moudre le fromage
3499 mettre les                    mEt le                        peu r' mettre les bandes
3500 mettre les                    mEt le                        va r' mettre les bandes .
3525 mettre le                     mEt l2                        maman va mettre le manteau .
3589 mettre le                     mEt l2                        mettre le chapeau sur sa tete
3598 chambre toi                   S@b twa                       dans la chambre toi tantot
3752 livre comme                   liv kOm                       mettre un livre comme ca
3985 prendre ton                   pR@d t§                       manger pour prendre ton medicament
4009 remettre dans                 R°-mEt d@                     on va remettre dans la
4013 autre la                      ot la                         encore un autre la .
4014 autre la                      ot la                         encore un autre la .
4021 mettre quand                  mEt k@                        est pour mettre quand pour
4330 mettre ma                     mEt ma                        pour le mettre ma dedans
4354 remettre la                   R°-mEt la                     doit l' remettre la .
4374 prendre ce                    pR@d s2                       sais bien prendre ce qu'
4397 mettre ca                     mEt sa                        peut r' mettre ca .
4444 enregistre fafa               @R-Zist fa-fa                 la on enregistre fafa .
4517 remettre le                   R°-mEt l2                     remettre le bateau ?
4518 remettre le                   R°-mEt l2                     remettre le bateau ou ?
4554 mettre dans                   mEt d@                        i' faut mettre dans l'
4593 prendre le                    pR@d l2                       vas pas prendre le titi
4609 remettre ca                   R°-mEt sa                     bien aller remettre ca .
4648 remettre le                   R°-mEt l2                     un peu remettre le paillasson
4661 livre la                      liv la                        dans le livre la ?
4680 mettre quoi                   mEt kwa                       mettre quoi ?
4681 mettre sa                     mEt sa                        ah mettre sa chaine .
4687 etre qu'                      Et k                          peut etre qu' elle va .
4718 mettre sur                    mEt syR                       pour mettre sur les lettres .
4723 lettre pour                   lEt puR                       voila une lettre pour mettre
4723 timbre dessus                 t5b d°-sy                     mettre un timbre dessus la
4738 mettre tous                   mEt tu                        peut la mettre tous les
4746 mettre les                    mEt le                        mettre les sous dans l' auto
4756 mettre les                    mEt le                        tu veux mettre les sous
4759 table stephane                tab ste-fan                   peu la table stephane .
4761 mettre la                     mEt la                        tu viens mettre la table
4768 mettre la                     mEt la                        tu peux mettre la teve mais
4815 autre stephane                ot ste-fan                    est l' autre stephane #
4817 autre stephane                ot ste-fan                    l' autre stephane qui a fait
4836 mettre la                     mEt la                        sait pas mettre la grue
4862 arbres la                     aRb la                        avec les arbres la carte
4899 montre les                    m§t le                        montre les .
4900 montre les                    m§t le                        montre les roues .
4934 autre chose                   ot Soz                        autre chose ?
4942 lettre de                     lEt d2                        peu la lettre de mammy
4943 lettre de                     lEt d2                        peu la lettre de mammy
4959 etre gentil                   Et Z@-ti                      va pas etre gentil si
5013 montre papa                   m§t pa-pa                     plus sa montre papa .
5014 montre de                     m§t d2                        la montre de papa est cassee
5015 montre de                     m§t d2                        cassee la montre de papa
5062 montre mieux                  m§t mj2                       montre mieux qu' ca .
5127 autre chose                   ot Soz                        c' est autre chose qu'
5156 entendre des                  @-t@d de                      viens d' entendre des prouprouts
5227 enregistre pour               @R-Zist puR                   oui on enregistre pour mammy hein
5256 mettre les                    mEt le                        viens r' mettre les choses cheri
5258 remettre dans                 R°-mEt d@                     va les remettre dans les
5353 mettre celle~la               mEt sEl-la                    tu peux mettre celle~la sur
5369 montre la                     m§t la                        montre la locomotive .
5405 autre sens                    ot s@s                        dans l' autre sens ?
5470 montre papa                   m§t pa-pa                     montre papa la .
5477 autre feuille                 ot f9j                        apportrai une autre feuille .
5480 mettre comme                  mEt kOm                       sait pas mettre comme ca
5570 mettre parce                  mEt paRs                      de les mettre parce que
5581 mettre sur                    mEt syR                       peu la mettre sur l'
5585 mettre la                     mEt la                        # va mettre la sucette
5601 mettre de                     mEt d2                        sait pas mettre de la
5670 livre pas                     liv pa                        un livre pas un tik .
5770 autre quand                   ot k@                         donner une autre quand t'
5803 propre la                     pROp la                       est pas propre la .
5813 autre ceinture                ot s5-tyR                     mettre une autre ceinture .
5815 mettre des                    mEt de                        bien t' mettre des bretelles
5873 mettre dans                   mEt d@                        faut l' mettre dans les
5904 mettre ton                    mEt t§                        vas r' mettre ton livre .
5907 mettre le                     mEt l2                        mettre le bonhomme dans l' camion
5909 mettre dans                   mEt d@                        peux l' mettre dans l'
5917 mettre dans                   mEt d@                        # l' mettre dans l'
5945 mettre ce                     mEt s2                        viens mettre ce mot~la .
5947 mettre la                     mEt la                        est et mettre la punaise
5949 mettre ce                     mEt s2                        # # mettre ce mot~la .
5952 mettre la                     mEt la                        tu veux mettre la punaise
5972 mettre ce                     mEt s2                        on va mettre ce mot~la .
6034 enregistre sur                @R-Zist syR                   fafa est enregistre sur l'
6039 enregistre fafa               @R-Zist fa-fa                 voila on enregistre fafa .
6076 mettre la                     mEt la                        ' faut mettre la chemise dans
6163 mettre les                    mEt le                        ' faut mettre les morceaux dans
6187 couvercle du                  ku-vERk dy                    est l' couvercle du nescafe
6194 mettre la                     mEt la                        sait pas mettre la table
6196 mettre les                    mEt lez                       tiens va mettre les assiettes .
6199 mettre les                    mEt lez                       va vite mettre les assiettes
6227 mettre ca                     mEt sa                        vais r' mettre ca aussi
6243 remettre la                   R°-mEt la                     tu vas remettre la culotte ?
6259 attendre sais                 a-t@d sE                      i' faut attendre sais tu .
6330 mettre dans                   mEt d@                        est pour mettre dans la
6356 gaufre pour                   gof puR                       voila la gaufre pour stephane .
6418 autres sacs                   ot sak                        dans les autres sacs la dans
6431 livre pour                    liv puR                       oh un livre pour dessiner .
6466 autre chose                   ot Soz                        r' garder autre chose des
6494 livre pour                    liv puR                       un livre pour stephane .
6495 livre pour                    liv puR                       pris un livre pour l'
6729 remettre la                   R°-mEt la                     veux l' remettre la ?
6792 autre quoi                    ot kwa                        un autre quoi ?
6794 autre papier                  ot pa-pje                     un autre papier la ?
6835 rentre dans                   R@t d@                        ca s' rentre dans les rails
6884 mettre ca                     mEt sa                        mettre ca a l' auto ?
6918 autres la                     ot la                         # les autres la .
6919 table maman                   tab ma-m@                     sur la table maman va
6933 quatre mars                   kat maRs                      mardi quatre mars .
7006 montre deux                   m§t d2                        montre deux .
7016 autre cassette                ot ka-sEt                     mis une autre cassette .
7018 enregistre stephane           @R-Zist ste-fan               nant on enregistre stephane .
7020 enregistre stephane           @R-Zist ste-fan               on enregistre stephane maint' nant .
7034 autre stephane                ot ste-fan                    l' autre stephane ?
7060 pendre le                     p@d l2                        maman va pendre le cadre ?
7065 attendre qu'                  a-t@d k                       la faut attendre qu' on
7080 mettre tes                    mEt te                        peu r' mettre tes jouets
7090 mettre de                     mEt d2                        faut r' mettre de l'
7091 remettre de                   R°-mEt d2                     i' faut remettre de l' oredre
7140 mettre la                     mEt la                        sait pas mettre la tv
7143 enregistre plus               @R-Zist ply                   n' t' enregistre plus alors
7145 enregistre fafa               @R-Zist fa-fa                 oui on enregistre fafa .
7211 livre de                      liv d2                        oui l' livre de maman mais
7211 coudre c'                     kud s'                        livre a coudre c' est
7214 mettre dehors                 mEt d°-OR                     le mettre dehors ?
7215 mettre le                     mEt l2                        mettre le livre dehors comme ca
7215 livre dehors                  liv d°-OR                     mettre le livre dehors comme ca
7258 pantoufles la                 p@-tuf la                     mettes tes pantoufles la .
7260 etre tout                     Et tu                         bas vont etre tout sales
7262 mettre tes                    mEt te                        viens vite mettre tes pantoufles .
7265 mettre tes                    mEt te                        tu veux mettre tes pantoufles tout
7265 pantoufles tout               p@-tuf tu                     mettre tes pantoufles tout seul
7300 aveugle ca                    a-v9g sa                      d' un aveugle ca .
7337 mettre la                     mEt la                        faut l' mettre la vois tu
7349 ouvre ta                      uv ta                         ouvre ta main .
7356 mettre des                    mEt de                        tu veux mettre des noix dans
7397 mettre dans                   mEt d@                        i' faut mettre dans la
7401 autre jour                    ot ZuR                        encore un autre jour .
7424 ouvre ta                      uv ta                         ouvre ta bouche .
7449 enregistre stephane           @R-Zist ste-fan               ah on enregistre stephane ?
7498 table c'                      tab s'                        une petite table c' est
7510 autre petite                  ot p°-tit                     encore une autre petite auto
7546 prendre tout                  pR@d tu                       vas la prendre tout seul
7570 mettre la                     mEt la                        pas mettre la boite sur le
7574 remettre les                  R°-mEt le                     viens remettre les bretelles .
7575 mettre tes                    mEt te                        viens mettre tes bretelles avec maman
7579 mettre tes                    mEt te                        viens mettre tes bret# .
7592 mettre le                     mEt l2                        veux bien mettre le p'
7647 prendre l'                    pR@d l                        tu veux prendre l' avion ?
7655 autre petite                  ot p°-tit                     a l' autre petite madame
7696 autre madame                  ot ma-dam                     l' autre madame fait au r'
7743 etre des                      Et de                         sait pas etre des deux
7789 enregistre stephane           @R-Zist ste-fan               oui on enregistre stephane .
7828 montre le                     m§t l2                        montre le vert a maman .
7855 table la                      tab la                        oh la table la a la
7898 table la                      tab la                        p' tite table la maint'
7905 mettre la                     mEt la                        faut la mettre la ?
7913 mettre la                     mEt la                        faut la mettre la ?
7919 mettre pres                   mEt pRE                       va la mettre pres du
7922 table la                      tab la                        p' tite table la .
7936 mettre ton                    mEt t§                        peux pas mettre ton manteau
7972 mettre dans                   mEt d@                        pas les mettre dans la
7973 table s'                      tab s                         sur cette table s' il
8166 table la                      tab la                        sur la table la ?
8247 souffles tu                   suf ty                        pourquoi souffles tu ?
8298 montre celui                  m§t sl8i                      montre celui de la p' tite
8299 montre celui                  m§t sl8i                      montre celui de sophie .
8314 suivre le                     s8iv l2                       on va suivre le fil avec
8328 suivre le                     s8iv l2                       on va suivre le fil on
8381 autre sur                     ot syR                        mis d' autre sur la
8449 pauvre petit                  pov p°-ti                     pauvre petit .
8463 table tantot                  tab t@-tO                     sur la table tantot .
8468 livres d'                     liv d                         mettais les livres d' abord
8470 mettre les                    mEt le                        mettre les livres dans l' camion
8470 livres dans                   liv d@                        mettre les livres dans l' camion
8472 mettre le                     mEt l2                        non pas mettre le livre
8472 livre dans                    liv d@                        mettre le livre dans la
8473 livres sur                    liv syR                       remets les livres sur l' etagere
8477 remettre sinon                R°-mEt si-n§                  faut les remettre sinon i' vont
8496 livres sur                    liv syR                       remets les livres sur l' etagere
8502 prendre les                   pR@d le                       sais pas prendre les blocs
8515 prendre les                   pR@d le                       sais pas prendre les p'
8532 autre doigt                   ot dwa                        oui l' autre doigt .
8537 entendre papa                 @-t@d pa-pa                   on va entendre papa la
8539 entendre la                   @-t@d la                      on va entendre la .
8547 enregistre stephan            @R-Zist ste-f@                oui on enregistre stephan .
8561 mettre la                     mEt la                        vas l' mettre la ?
8566 autre stephan                 ot ste-f@                     de l' autre stephan .
8613 mettre du                     mEt dy                        maman va mettre du vert la
8632 mettre quoi                   mEt kwa                       on va mettre quoi donc #
8656 mettre du                     mEt dy                        on va mettre du bleu la
8658 mettre du                     mEt dy                        on va mettre du bleu la
8661 autre main                    ot m5                         dans l' autre main .
8666 mettre de                     mEt d2                        va plus mettre de la
8771 ouvre pas                     uv pa                         ne les ouvre pas hein
8831 prendre toutes                pR@d tut                      pas prendre toutes les chiques hein
8861 mettre de                     mEt d2                        ou mettre de la musique ?
8918 mettre dans                   mEt d@                        va les mettre dans l'
8920 etre toutes                   Et tut                        elles vont etre toutes cassees si
8944 autre stephane                ot ste-fan                    l' autre stephane a une grand
8963 autre stephane                ot ste-fan                    pour l' autre stephane ?
8967 autre papa                    ot pa-pa                      son autre papa ?
8988 autre stephane                ot ste-fan                    pour l' autre stephane ?
9023 contre l'                     k§t l                         contre l' etagere .
9038 perdre tout                   pERd tu                       vas t' perdre tout seul
9039 perdre si                     pERd si                       vas te perdre si tu
9177 ouvre plus                    uv ply                        n' ouvre plus la porte hein
9302 lettres la                    lEt la                        met les lettres la ?
9303 lettres de                    lEt d2                        les lettres de qui ?
9305 lettres de                    lEt d2                        met les lettres de qui
9306 mettre les                    mEt le                        pour toi mettre les lettres
9308 mettre les                    mEt le                        tu veux mettre les lettres ?
9309 mettre les                    mEt le                        veux tu mettre les lettres
9314 lettre de                     lEt d2                        est une lettre de ma
9324 autre petit                   ot p°-ti                      pour un autre petit bebe
9392 timbres pour                  t5b puR                       est des timbres pour donner
9393 mettre quoi                   mEt kwa                       tu vas mettre quoi ?
9399 autre chose                   ot Soz                        t' chercher autre chose alors
9399 mettre des                    mEt de                        alors pour mettre des timbres
9437 autre cote                    ot kOt                        de l' autre cote .
9460 souffle ton                   suf t§                        souffle ton nez .
9490 mettre le                     mEt l2                        on doit mettre le timbre
9538 prendre donc                  pR@d d§k                      i' vont prendre donc avec
9544 mettre de                     mEt d2                        on va mettre de l' essence
9565 mettre dans                   mEt d@                        on va mettre dans la
9569 mettre dans                   mEt d@                        maman va mettre dans la
9570 mettre dans                   mEt d@                        on sait mettre dans l'
9652 mettre des                    mEt de                        on doit mettre des langes au
9750 mettre la                     mEt la                        on va mettre la table .
9751 mettre sur                    mEt syR                       faut encore mettre sur la
9752 mettre sur                    mEt syR                       i' faut mettre sur la
9769 mettre la                     mEt la                        on va mettre la table .
9772 mettre la                     mEt la                        on va mettre la table hein
9773 mettre la                     mEt la                        veux pas mettre la table
9773 table toi                     tab twa                       mettre la table toi ?
9775 mettre sur                    mEt syR                       on va mettre sur la
9777 mettre sur                    mEt syR                       i' faut mettre sur la
9898 prendre ta                    pR@d ta                       tu peux prendre ta titi .
9952 enregistre stephane           @R-Zist ste-fan               on aura enregistre stephane .
10006table comme                   tab kOm                       casser la table comme ca
10079autres cubes                  ot kyb                        ramasser les autres cubes .
10200sable la                      sab la                        avec du sable la dedans
10277montre le                     m§t l2                        oui mais montre le .
10279montre le                     m§t l2                        montre le gros cheval .
10360mettre les                    mEt le                        place pour mettre les pieds
10497table tranquille              tab tR@-kil                   peu la table tranquille hein
10737montre le                     m§t l2                        lui i' montre le bon exemple
10893enregistre stephane           @R-Zist ste-fan               on aura enregistre stephane on
10949lettre que                    lEt k2                        est une lettre que le
10951lettre que                    lEt k2                        est une lettre que le
11576autre stephane                ot ste-fan                    oui l' autre stephane .
11631mettre la                     mEt la                        elle va mettre la table
11631table les                     tab lez                       mettre la table les assiettes
11661mettre la                     mEt la                        maman va mettre la tv on
11662mettre la                     mEt la                        vais aller mettre la tv
11672entendre stephane             @-t@d ste-fan                 mami va entendre stephane qui
11730prendre l'                    pR@d l                        veux pas prendre l' autobus
11758mettre la                     mEt la                        va l' mettre la sur
11821table pour                    tab puR                       une table pour manger ?
11845remettre le                   R°-mEt l2                     faut toujours remettre le bouchon
11846remettre le                   R°-mEt l2                     remettre le bouchon # .
11848remettre le                   R°-mEt l2                     remettre le bouchon .
11875arbre pres                    aRb pRE                       # un arbre pres d' la
11926mettre dans                   mEt d@                        grand pour mettre dans #
11939reprendre le                  R°-pR@d l2                    maman va reprendre le pinceau .
11980autre maison                  ot mE-z§                      dans une autre maison oui .
11981autre maison                  ot mE-z§                      dans l' autre maison ?
12015mettre la                     mEt la                        on doit mettre la tete
12113etre partie                   Et paR-ti                     est peut etre partie oui
12114mettre dans                   mEt d@                        pour la mettre dans la
12177autre tracteur                ot tRak-t9R                   l' autre tracteur mange ?
12209mettre les                    mEt le                        pour mettre les bagages oui c'
12246mettre ta                     mEt ta                        tu vas mettre ta montre ?
12296autre cote                    ot kOt                        de l' autre cote alors
12335mettre les                    mEt le                        i' faut mettre les pieds
12343souffles pas                  suf pa                        tu n' souffles pas .
12387semble que                    s@b k2                        i' m' semble que ca c'
12389enregistre papa               @R-Zist pa-pa                 et on enregistre papa maint' nant
12409etre tranquilles              Et tR@-kil                    on va etre tranquilles sans
12431remettre stephane             R°-mEt ste-fan                faut l' remettre stephane .
12483mettre des                    mEt de                        on va mettre des lettres ?
12514mettre la                     mEt la                        ' faut mettre la tete ?
12517mettre la                     mEt la                        # mettre la tete comment ?
12522entendre ta                   @-t@d ta                      va t' entendre ta titi
12723mettre comme                  mEt kOm                       doit les mettre comme ca
12752mettre ses                    mEt se                        ' faut mettre ses mains
12790mettre des                    mEt de                        maisons puis mettre des briques
12882mettre tout                   mEt tu                        sais pas mettre tout seul
12917autre magasin                 ot ma-ga-z5                   dans un autre magasin .
13045mettre dans                   mEt d@                        pierres pour mettre dans l'
13052mettre dans                   mEt d@                        pour les mettre dans le
13053pantoufle s'                  p@-tuf s                      oh ta pantoufle s' en va
13102arbre cheri                   aRb Se-Ri                     un arbre cheri un grand arbre
13125enregistre stephane           @R-Zist ste-fan               on aura enregistre stephane t'
13126livre cheri                   liv Se-Ri                     un livre cheri .
13141autre stephane                ot ste-fan                    appelles l' autre stephane ?
13153mettre les                    mEt le                        pour mettre les lettres dedans hein
13153lettres dedans                lEt d°-d@                     mettre les lettres dedans hein
13154mettre les                    mEt le                        pour mettre les lettres .
13195prendre ton                   pR@d t§                       tu vas prendre ton bain maint'
13211pantoufle je                  p@-tuf Z2                     remets ta pantoufle je viens
13212pantoufles sur                p@-tuf syR                    soin d' pantoufles sur le
13230mettre la                     mEt la                        tu veux mettre la lampe ?
13244autre pied                    ot pje                        est l' autre pied que
13255mettre d'                     mEt d                         i' faut mettre d' abord mettre
13261chambre pour                  S@b puR                       dans la chambre pour faire
13269rentres dans                  R@t d@                        tu rentres dans la maison ?
13272mettre sur                    mEt syR                       vas la mettre sur la
13342arbre non                     aRb n§                        dans l' arbre non ?
13344descendre de                  de-s@d d2                     sait pas descendre de l'
13345descendre de                  de-s@d d2                     sait pas descendre de l'
13411mettre ca                     mEt sa                        il faut mettre ca quand il
13418mettre l'                     mEt l                         papa va mettre l' ampoule
13426mettre tes                    mEt te                        n' pas mettre tes doigts
13430mettre tes                    mEt te                        n' pas mettre tes doigts
13474prendre l'                    pR@d l                        je vais prendre l' auto
13475mettre sur                    mEt syR                       vais aller mettre sur la
13486mettre tes                    mEt te                        tu vas mettre tes doigts
13489mettre bien                   mEt bj5                       faut l' mettre bien droit
13491mettre bien                   mEt bj5                       faut l' mettre bien droit
13510prendre tes                   pR@d te                       tu veux prendre tes mots ?
13533ensemble puisque              @-s@b p8isk                   les mettre ensemble puisque tu
13586mettre l'                     mEt l                         tu aller mettre l' ampoule
13612mettre ca                     mEt sa                        tu veux mettre ca sur la
13613mettre l'                     mEt l                         on va mettre l' autre ici
13633prendre l'                    pR@d l                        tu veux prendre l' autobus
13670autre cote                    ot kOt                        de l' autre cote cheri
13704mettre ton                    mEt t§                        tu veux mettre ton nom ?
13705mettre ton                    mEt t§                        tu veux mettre ton nom mais
13753montre pour                   m§t puR                       une montre pour qui ?
13948mettre les                    mEt le                        est pour mettre les jouets
13951mettre dans                   mEt d@                        est pour mettre dans l'
13966notre telephone               nOt te-le-fOn                 est comme notre telephone ?
13990mordre ca                     mORd sa                       tits bebes mordre ca hein
13995mettre la                     mEt la                        # pour mettre la dedans ah
14008mettre sur                    mEt syR                       faut encore mettre sur la
14019lettres ca                    lEt sa                        boite aux lettres ca hein
14169arbre l'                      aRb l                         trouver un arbre l' ecureuil
14175arbre l'                      aRb l                         dans l' arbre l' ecureuil
14201quatre petits                 kat p°-ti                     quatre petits chats .
14206mettre des                    mEt de                        faut pas mettre des sous
14207mettre ta                     mEt ta                        faut pas mettre ta bouche
14207livre non                     liv n§                        sur le livre non plus
14211mettre la                     mEt la                        pas toi mettre la bouche
14247autre sens                    ot s@s                        dans l' autre sens .
14388souffle les                   suf le                        qui a souffle les bougies
14390souffle les                   suf le                        qui a souffle les bougies
14595mettre d'                     mEt d                         il faut mettre d' l'
14645etre tantot                   Et t@-tO                      ira peut etre tantot .
14681mettre ton                    mEt t§                        viens mettre ton doigt .
14700mettre l'                     mEt l                         est pour mettre l' essence
14701mettre l'                     mEt l                         pour mettre l' essence la ?
14703mettre l'                     mEt l                         est pour mettre l' essence
14705mettre quoi                   mEt kwa                       pour mettre quoi ?
14722mettre sur                    mEt syR                       le mettre sur le divan ?
14750livre pour                    liv puR                       dans le livre pour aller
14817prendre de                    pR@d d2                       arreter pour prendre de l'
14818mettre la                     mEt la                        etait pour mettre la cle
14834prendre l'                    pR@d l                        tu vas prendre l' autobus
